Country,NumberOfSpecies,Area,SpeciesDensity,logSpeciesDensity,latitude,island,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,AnnualInsolation,AnnualNetFlux,PercentUrbanized,PercentDeveloped,PercentNaturallyVegetated,ConcPM25
Austria,197,83858,0.002349209,-2.629078274,48.2,0,6.18329863,8.754647267,32.46780645,688.8857985,26.69474983,-13.4505,26.94108855,14.50832259,-1.718313024,14.62148543,-2.207528507,1066.204986,137.4792244,53.80055402,31.75614105,384.7119114,180.0858726,384.1883657,181.5096953,2009.177338,-505.4818361,1.898101898,26.07392607,73.62637363,11.0934925
Belgium,88,30510,0.0028843,-2.539959535,50.85,0,9.68767423,7.509816378,33.38556066,560.6145233,23.56649971,-2.6115,22.48911903,8.782072549,6.431576235,16.67754391,3.009184221,841.2071429,83.63571429,55.15714286,12.89700533,240.2285714,180.8142857,217.3714286,208.0642857,1798.461779,-751.5514502,9.793814433,75,24.22680412,12.7089227
Bulgaria,211,110994,0.001901004,-2.721017047,42.68,0,10.4322806,10.36091893,33.31600728,783.5880547,30.79800034,-10.356,31.09171631,15.14998338,7.459501655,19.95669616,0.722705138,590.7886364,69.11590909,35.14090909,21.93770429,191.6159091,114.1386364,163.1340909,128.5704545,2330.855635,-321.6875933,1.306122449,67.02040816,32.97959184,11.6812164
Cyprus,48,9251,0.005188628,-2.284947444,35.17,1,18.0033478,11.39712289,40.16778708,650.3485641,36.56200027,0.10675,28.36411953,10.39967962,25.8211689,26.00082195,10.37437354,490.28125,109.875,1.9375,90.71535015,280.09375,10.125,10.875,260.78125,3142.425389,116.8469194,2.272727273,31.81818182,55.68181818,11.9419247
Czech Republic,140,78866,0.001775163,-2.750761779,50.08,0,7.64722414,8.379520532,30.78920151,717.2890375,25.98600006,-6.8944998,27.20646992,16.29695625,0.587989496,16.42562653,-1.188753152,650.3221289,90.02240896,32.42577031,37.68896183,248.3585434,105.6414566,248.2128852,113.4341737,1761.038687,-652.8978063,2.553626149,62.20633299,37.79366701,17.1946583
Denmark,63,44493,0.001415953,-2.84895114,55.72,0,8.08231139,6.231805965,27.85949931,606.0349194,21.91041183,-6.1579251,22.29183096,10.95221478,3.508960452,15.66389133,1.014324984,700.9957082,78.36480687,37.06008584,23.66888736,225.9098712,122.9399142,187.1072961,158.4635193,1669.328201,-832.7521008,1.495016611,81.56146179,8.471760797,7.98811313
Estonia,98,45339,0.002161495,-2.665245861,59.42,0,5.48654363,7.426371236,24.33668736,828.5588384,23.12325096,-10.5205,30.45265676,13.63680925,-1.060551614,15.90240624,-4.391951268,647.5077519,79.45736434,30.7751938,33.1087592,225.8527132,97.66666667,211.3023256,121.5387597,1606.911797,-897.5997316,0.285306705,21.68330956,69.32952924,6.15780924
Finland,110,338145,0.000325304,-3.487710285,60.17,0,1.49179382,8.189562474,23.52027295,937.3159362,22.63425064,-21.796499,34.83207142,12.49611728,-4.896997771,13.51723907,-9.733571184,581.76502,76.93635959,28.90298175,33.55608282,209.6688919,92.56831331,206.0338229,110.6377392,1440.687818,-1102.241637,0.143769968,0.798722045,92.8913738,5.41407868
France,244,551394,0.000442515,-3.35407221,48.86,0,10.6625807,8.671453942,36.41028572,565.1396571,31.21724892,-10.9795,23.82013178,9.070503098,12.66347433,17.79255679,4.045111893,849.537029,92.78605457,49.30272845,18.46779885,256.4993504,166.3702902,182.6613252,225.034647,2151.44807,-540.4678785,1.74048174,75.15151515,23.63636364,8.71822244
Germany,178,357168,0.000498365,-3.30245254,52.52,0,8.56567758,8.022093945,32.03327814,647.4864831,25.3845005,-7.55825,25.03903211,13.65564484,4.177380965,16.62792666,0.770116462,780.0356065,86.85455643,47.3952927,19.14665264,242.066385,156.3089922,232.7911889,179.983102,1721.950997,-734.2461015,5.006530257,64.27949499,34.41445364,12.517245
