number,Country,Number of species,area,latitude,island
1,Austria,197,83858,48.2,0
2,Belgium,88,30510,50.85,0
3,Bulgaria,211,110994,42.68,0
4,Cyprus,48,9251,35.17,1
5,Czech Republic,140,78866,50.08,0
6,Denmark,63,44493,55.72,0
7,Estonia,98,45339,59.42,0
8,Finland,110,338145,60.17,0
9,France,244,551394,48.86,0
10,Germany,178,357168,52.52,0
11,Greece,230,131940,37.97,0
12,Hungary,152,93030,47.43,0
13,Ireland,30,70273,53.35,1
14,Italy,264,301338,41.9,0
15,Latvia,105,64589,56.95,0
16,Lithuania,114,65300,54.68,0
17,Luxembourg,78,2586,49.6,0
18,Malta,18,316,35.9,1
19,Netherlands,55,41198,52.37,0
20,Poland,147,312685,52.22,0
21,Portugal,147,91568,38.77,0
22,Romania,180,238392,44.42,0
23,Slovakia,164,49036,48.15,0
24,Slovenia,172,20273,46.05,0
25,Spain,243,498468,40.42,0
26,Sweden,108,449964,59.35,0
27,UK,55,248532,51.51,1
28,Florida,193,170305,27.75,0
29,Cuba,196,109884,23.13,1
30,Parana,689,199308,24,0
31,Kinabalu,625,753,6.08,0
32,Mexico State,325,21355,19,0
33,"Federal District, Brazil",839,5800,16,0
34,Calakmul,428,7232,18.5,0
35,Sulawesi,557,174600,2,1
36,Sri Lanka,244,65610,7,1
37,Australia,398,7692000,24,1
38,Zambia,901,752618,15.42,0
39,Tanzania,1583,947303,6.8,0
40,South Africa,797,1220000,30.6,0
41,Cameroon,1593,475442,7.4,0
42,India,1163,3287000,19.1,0
43,Nepal,643,147181,27.7,0
44,Ghana,925,238535,5.5,0
45,Hong Kong,236,2754,22.4,0
